[2023/05/10 02:13:48] - Namespace(batch_size=128, clb_dir='./data/clean-label/0.1/', poison_target=0, poison_type='badnets', trigger_alpha=1.0)
[2023/05/10 02:13:56] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2023/05/10 02:14:24] - 1 	 0.100 	 27.1 	 2.0526 	 0.2729 	 2.1101 	 0.1464 	 1.6472 	 0.3918
[2023/05/10 02:14:53] - 2 	 0.100 	 29.2 	 1.6214 	 0.4070 	 2.4515 	 0.1010 	 1.4593 	 0.4663
[2023/05/10 02:15:18] - 3 	 0.100 	 25.5 	 1.4256 	 0.4881 	 2.1183 	 0.1712 	 1.3786 	 0.5183
[2023/05/10 02:15:44] - 4 	 0.100 	 25.5 	 1.2507 	 0.5581 	 2.6097 	 0.1335 	 1.1012 	 0.6166
[2023/05/10 02:16:09] - 5 	 0.100 	 25.6 	 1.1164 	 0.6115 	 2.8851 	 0.0974 	 1.0940 	 0.6334
[2023/05/10 02:16:35] - 6 	 0.100 	 25.5 	 1.0154 	 0.6484 	 2.3985 	 0.1516 	 0.9485 	 0.6761
[2023/05/10 02:17:00] - 7 	 0.100 	 25.4 	 0.9067 	 0.6893 	 0.0863 	 0.9725 	 0.9887 	 0.6689
[2023/05/10 02:17:26] - 8 	 0.100 	 25.5 	 0.7820 	 0.7355 	 0.0000 	 1.0000 	 0.8195 	 0.7267
[2023/05/10 02:17:55] - 9 	 0.100 	 29.0 	 0.7061 	 0.7637 	 0.0003 	 1.0000 	 0.7667 	 0.7357
[2023/05/10 02:18:20] - 10 	 0.100 	 25.4 	 0.6622 	 0.7805 	 0.0000 	 1.0000 	 0.8905 	 0.7072
[2023/05/10 02:18:48] - 11 	 0.100 	 28.3 	 0.6340 	 0.7882 	 0.0367 	 0.9901 	 0.8910 	 0.7083
[2023/05/10 02:19:14] - 12 	 0.100 	 25.5 	 0.6034 	 0.8001 	 0.0012 	 1.0000 	 0.6471 	 0.7812
