[2023/05/10 03:10:09] - Namespace(batch_size=128, clb_dir='./data/clean-label/0.1/', poison_target=0, poison_type='blend', trigger_alpha=0.2)
[2023/05/10 03:10:10] - STREAM b'IHDR' 16 13
[2023/05/10 03:10:10] - STREAM b'IDAT' 41 3115
[2023/05/10 03:10:18] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2023/05/10 03:10:57] - 1 	 0.100 	 38.6 	 1.9323 	 0.3008 	 1.4990 	 0.4032 	 1.6913 	 0.3806
[2023/05/10 03:11:35] - 2 	 0.100 	 37.6 	 1.4683 	 0.4589 	 0.1994 	 0.9458 	 1.3215 	 0.5110
[2023/05/10 03:12:12] - 3 	 0.100 	 37.2 	 1.1998 	 0.5672 	 0.0303 	 0.9902 	 1.2927 	 0.5549
[2023/05/10 03:12:48] - 4 	 0.100 	 36.1 	 0.9967 	 0.6434 	 0.2652 	 0.9295 	 1.3249 	 0.5599
[2023/05/10 03:13:25] - 5 	 0.100 	 36.8 	 0.8563 	 0.6987 	 0.0156 	 0.9944 	 1.0036 	 0.6602
[2023/05/10 03:14:03] - 6 	 0.100 	 38.0 	 0.7425 	 0.7403 	 0.0021 	 0.9995 	 0.7026 	 0.7566
[2023/05/10 03:14:41] - 7 	 0.100 	 38.4 	 0.6551 	 0.7731 	 2.7280 	 0.3080 	 0.6476 	 0.7751
[2023/05/10 03:15:18] - 8 	 0.100 	 37.0 	 0.5879 	 0.7975 	 0.0008 	 0.9998 	 0.7198 	 0.7556
[2023/05/10 03:15:55] - 9 	 0.100 	 37.0 	 0.5491 	 0.8109 	 0.0001 	 1.0000 	 0.6631 	 0.7761
[2023/05/10 03:16:32] - 10 	 0.100 	 37.1 	 0.5225 	 0.8204 	 0.0000 	 1.0000 	 0.6464 	 0.7799
[2023/05/10 03:17:09] - 11 	 0.100 	 37.1 	 0.4898 	 0.8334 	 0.0019 	 0.9995 	 0.7487 	 0.7588
[2023/05/10 03:17:46] - 12 	 0.100 	 36.7 	 0.4687 	 0.8381 	 0.0065 	 0.9980 	 0.7093 	 0.7624
[2023/05/10 03:18:24] - 13 	 0.100 	 38.3 	 0.4627 	 0.8418 	 0.0007 	 0.9997 	 0.6462 	 0.7840
[2023/05/10 03:19:03] - 14 	 0.100 	 38.2 	 0.4489 	 0.8460 	 0.0040 	 0.9986 	 0.5967 	 0.7963
[2023/05/10 03:19:39] - 15 	 0.100 	 36.6 	 0.4388 	 0.8501 	 0.0001 	 1.0000 	 0.5996 	 0.7959
[2023/05/10 03:20:17] - 16 	 0.100 	 38.2 	 0.4188 	 0.8560 	 0.1318 	 0.9632 	 0.5351 	 0.8223
[2023/05/10 03:20:54] - 17 	 0.100 	 36.8 	 0.4167 	 0.8573 	 0.0002 	 1.0000 	 0.5364 	 0.8178
[2023/05/10 03:21:31] - 18 	 0.100 	 36.8 	 0.4034 	 0.8627 	 0.0160 	 0.9958 	 0.6428 	 0.7900
[2023/05/10 03:22:09] - 19 	 0.100 	 37.7 	 0.4006 	 0.8634 	 0.0363 	 0.9909 	 0.6208 	 0.7969
[2023/05/10 03:22:47] - 20 	 0.100 	 38.0 	 0.3980 	 0.8631 	 0.0003 	 1.0000 	 0.4476 	 0.8464
[2023/05/10 03:23:25] - 21 	 0.100 	 38.4 	 0.3856 	 0.8657 	 0.0016 	 0.9998 	 0.7425 	 0.7683
[2023/05/10 03:24:04] - 22 	 0.100 	 38.7 	 0.3834 	 0.8695 	 0.0038 	 0.9990 	 0.5106 	 0.8264
[2023/05/10 03:24:43] - 23 	 0.100 	 38.8 	 0.3799 	 0.8710 	 0.0134 	 0.9954 	 0.5315 	 0.8257
[2023/05/10 03:25:21] - 24 	 0.100 	 38.5 	 0.3682 	 0.8753 	 0.0000 	 1.0000 	 0.5144 	 0.8332
[2023/05/10 03:25:59] - 25 	 0.100 	 38.1 	 0.3755 	 0.8711 	 0.0067 	 0.9982 	 0.6209 	 0.7987
[2023/05/10 03:26:37] - 26 	 0.100 	 37.7 	 0.3654 	 0.8751 	 0.0006 	 0.9999 	 0.4401 	 0.8535
[2023/05/10 03:27:15] - 27 	 0.100 	 37.5 	 0.3589 	 0.8774 	 0.0002 	 1.0000 	 0.5608 	 0.8221
[2023/05/10 03:27:53] - 28 	 0.100 	 38.0 	 0.3556 	 0.8790 	 0.0011 	 0.9999 	 0.5570 	 0.8193
[2023/05/10 03:28:31] - 29 	 0.100 	 38.1 	 0.3604 	 0.8754 	 0.0005 	 1.0000 	 0.6676 	 0.7962
[2023/05/10 03:29:08] - 30 	 0.100 	 36.9 	 0.3543 	 0.8780 	 0.0001 	 1.0000 	 0.4843 	 0.8371
[2023/05/10 03:29:44] - 31 	 0.010 	 36.8 	 0.2036 	 0.9324 	 0.0001 	 1.0000 	 0.2534 	 0.9129
[2023/05/10 03:30:21] - 32 	 0.010 	 36.8 	 0.1520 	 0.9487 	 0.0002 	 1.0000 	 0.2392 	 0.9168
[2023/05/10 03:31:00] - 33 	 0.010 	 38.3 	 0.1306 	 0.9558 	 0.0001 	 1.0000 	 0.2427 	 0.9175
[2023/05/10 03:31:36] - 34 	 0.010 	 36.9 	 0.1152 	 0.9610 	 0.0001 	 1.0000 	 0.2388 	 0.9197
[2023/05/10 03:32:14] - 35 	 0.010 	 37.9 	 0.1063 	 0.9647 	 0.0001 	 1.0000 	 0.2377 	 0.9185
[2023/05/10 03:32:45] - 36 	 0.010 	 30.6 	 0.0957 	 0.9676 	 0.0002 	 1.0000 	 0.2374 	 0.9232
[2023/05/10 03:33:10] - 37 	 0.010 	 25.0 	 0.0867 	 0.9701 	 0.0001 	 1.0000 	 0.2458 	 0.9192
[2023/05/10 03:33:39] - 38 	 0.010 	 28.8 	 0.0781 	 0.9743 	 0.0001 	 1.0000 	 0.2531 	 0.9203
[2023/05/10 03:34:04] - 39 	 0.010 	 25.2 	 0.0718 	 0.9764 	 0.0000 	 1.0000 	 0.2417 	 0.9232
[2023/05/10 03:34:31] - 40 	 0.010 	 26.6 	 0.0663 	 0.9781 	 0.0001 	 1.0000 	 0.2498 	 0.9221
[2023/05/10 03:35:00] - 41 	 0.001 	 28.9 	 0.0499 	 0.9844 	 0.0001 	 1.0000 	 0.2269 	 0.9269
[2023/05/10 03:35:28] - 42 	 0.001 	 28.5 	 0.0441 	 0.9867 	 0.0004 	 0.9999 	 0.2262 	 0.9288
[2023/05/10 03:35:53] - 43 	 0.001 	 25.4 	 0.0393 	 0.9887 	 0.0002 	 1.0000 	 0.2265 	 0.9293
[2023/05/10 03:36:19] - 44 	 0.001 	 25.3 	 0.0379 	 0.9892 	 0.0003 	 0.9999 	 0.2272 	 0.9282
[2023/05/10 03:36:46] - 45 	 0.001 	 27.1 	 0.0370 	 0.9887 	 0.0002 	 1.0000 	 0.2277 	 0.9286
[2023/05/10 03:37:12] - 46 	 0.001 	 26.3 	 0.0352 	 0.9900 	 0.0001 	 1.0000 	 0.2262 	 0.9291
[2023/05/10 03:37:37] - 47 	 0.001 	 25.4 	 0.0329 	 0.9906 	 0.0001 	 1.0000 	 0.2274 	 0.9287
[2023/05/10 03:38:06] - 48 	 0.001 	 28.8 	 0.0342 	 0.9898 	 0.0002 	 1.0000 	 0.2289 	 0.9303
[2023/05/10 03:38:32] - 49 	 0.001 	 25.7 	 0.0323 	 0.9914 	 0.0003 	 1.0000 	 0.2287 	 0.9292
