[2023/05/10 03:03:10] - Namespace(batch_size=128, clb_dir='./data/clean-label/0.1/', poison_target=0, poison_type='clean-label', trigger_alpha=1.0)
[2023/05/10 03:03:18] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2023/05/10 03:03:48] - 1 	 0.100 	 29.4 	 2.1817 	 0.2681 	 2.6749 	 0.0485 	 1.9114 	 0.3076
[2023/05/10 03:04:17] - 2 	 0.100 	 29.3 	 1.5644 	 0.4193 	 3.8715 	 0.1090 	 1.5401 	 0.4569
[2023/05/10 03:04:47] - 3 	 0.100 	 29.5 	 1.3242 	 0.5171 	 3.9559 	 0.1419 	 1.2353 	 0.5603
[2023/05/10 03:05:15] - 4 	 0.100 	 28.3 	 1.1188 	 0.5980 	 4.2529 	 0.1012 	 1.0542 	 0.6190
[2023/05/10 03:05:44] - 5 	 0.100 	 29.3 	 0.9655 	 0.6559 	 4.4585 	 0.1364 	 1.0079 	 0.6593
[2023/05/10 03:06:14] - 6 	 0.100 	 29.3 	 0.8525 	 0.6986 	 5.2166 	 0.1045 	 0.9886 	 0.6634
[2023/05/10 03:06:40] - 7 	 0.100 	 26.4 	 0.7593 	 0.7342 	 3.1237 	 0.2348 	 1.1414 	 0.6346
[2023/05/10 03:07:06] - 8 	 0.100 	 25.6 	 0.6781 	 0.7632 	 1.4823 	 0.6009 	 0.8964 	 0.7076
[2023/05/10 03:07:33] - 9 	 0.100 	 27.2 	 0.6135 	 0.7881 	 2.0915 	 0.4446 	 0.8321 	 0.7231
[2023/05/10 03:08:01] - 10 	 0.100 	 28.3 	 0.5712 	 0.8041 	 1.7041 	 0.5074 	 0.5719 	 0.8067
[2023/05/10 03:08:30] - 11 	 0.100 	 28.9 	 0.5385 	 0.8147 	 1.6455 	 0.5819 	 0.6449 	 0.7849
[2023/05/10 03:08:56] - 12 	 0.100 	 25.5 	 0.5188 	 0.8216 	 0.6836 	 0.8131 	 0.7429 	 0.7510
[2023/05/10 03:09:25] - 13 	 0.100 	 29.2 	 0.5020 	 0.8292 	 2.3686 	 0.4313 	 0.7249 	 0.7561
[2023/05/10 03:09:55] - 14 	 0.100 	 29.8 	 0.4825 	 0.8344 	 2.8736 	 0.3791 	 0.6227 	 0.7865
[2023/05/10 03:10:22] - 15 	 0.100 	 27.3 	 0.4750 	 0.8366 	 1.6401 	 0.5853 	 0.7056 	 0.7817
[2023/05/10 03:11:02] - 16 	 0.100 	 39.7 	 0.4507 	 0.8444 	 1.9631 	 0.5209 	 0.9421 	 0.7175
[2023/05/10 03:11:41] - 17 	 0.100 	 39.1 	 0.4490 	 0.8458 	 0.5997 	 0.8622 	 0.7330 	 0.7647
[2023/05/10 03:12:20] - 18 	 0.100 	 39.2 	 0.4339 	 0.8513 	 1.4905 	 0.6116 	 0.6035 	 0.7915
